campeon,subcampeon,HOME_TEAM,AWAY_TEAM,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,diferencia_de_goles,puntos,temporada_total
Real Madrid,Liverpool,,,,,,,,,,,,,,2021-2022
Real Madrid,Liverpool,,,,,,,,,,,,,,2017-2018
Real Madrid,Juventus,,,,,,,,,,,,,,2016-2017
Real Madrid,Atlético Madrid,,,,,,,,,,,,,,2015-2016
Real Madrid,Atlético Madrid,,,,,,,,,,,,,,2013-2014
Real Madrid,Bayer Leverkusen,,,,,,,,,,,,,,2001-2002
Real Madrid,Valencia,,,,,,,,,,,,,,1999-2000
Real Madrid,Juventus,,,,,,,,,,,,,,1997-1998
,,Real Madrid,Sporting CP,2.0,1.0,,,,,,,,,,2016-2017
,,Dortmund,Real Madrid,2.0,2.0,,,,,,,,,,2016-2017
,,Real Madrid,Legia Warszawa,5.0,1.0,,,,,,,,,,2016-2017
,,Legia Warszawa,Real Madrid,3.0,3.0,,,,,,,,,,2016-2017
,,Sporting CP,Real Madrid,1.0,2.0,,,,,,,,,,2016-2017
,,Real Madrid,Dortmund,2.0,2.0,,,,,,,,,,2016-2017
,,Real Madrid,Napoli,3.0,1.0,,,,,,,,,,2016-2017
,,Napoli,Real Madrid,1.0,3.0,,,,,,,,,,2016-2017
,,Bayern Munich,Real Madrid,1.0,2.0,,,,,,,,,,2016-2017
,,Real Madrid,Bayern Munich,4.0,2.0,,,,,,,,,,2016-2017
,,Real Madrid,Atlético Madrid,3.0,0.0,,,,,,,,,,2016-2017
,,Atlético Madrid,Real Madrid,2.0,1.0,,,,,,,,,,2016-2017
,,Juventus,Real Madrid,1.0,4.0,,,,,,,,,,2016-2017
,,Real Madrid,APOEL Nikosia,3.0,0.0,,,,,,,,,,2017-2018
,,Dortmund,Real Madrid,1.0,3.0,,,,,,,,,,2017-2018
,,Real Madrid,Tottenham Hotspur,1.0,1.0,,,,,,,,,,2017-2018
,,Tottenham Hotspur,Real Madrid,3.0,1.0,,,,,,,,,,2017-2018
,,APOEL Nikosia,Real Madrid,0.0,6.0,,,,,,,,,,2017-2018
,,Real Madrid,Dortmund,3.0,2.0,,,,,,,,,,2017-2018
,,Real Madrid,Paris Saint-Germain,3.0,1.0,,,,,,,,,,2017-2018
,,Paris Saint-Germain,Real Madrid,1.0,2.0,,,,,,,,,,2017-2018
,,Juventus,Real Madrid,0.0,3.0,,,,,,,,,,2017-2018
,,Real Madrid,Juventus,1.0,3.0,,,,,,,,,,2017-2018
,,Bayern Munich,Real Madrid,1.0,2.0,,,,,,,,,,2017-2018
,,Real Madrid,Bayern Munich,2.0,2.0,,,,,,,,,,2017-2018
,,Real Madrid,Liverpool FC,3.0,1.0,,,,,,,,,,2017-2018
,,Real Madrid,AS Roma,3.0,0.0,,,,,,,,,,2018-2019
,,CSKA Moskva,Real Madrid,1.0,0.0,,,,,,,,,,2018-2019
,,Real Madrid,Viktoria Plzeň,2.0,1.0,,,,,,,,,,2018-2019
,,Viktoria Plzeň,Real Madrid,0.0,5.0,,,,,,,,,,2018-2019
,,AS Roma,Real Madrid,0.0,2.0,,,,,,,,,,2018-2019
,,Real Madrid,CSKA Moskva,0.0,3.0,,,,,,,,,,2018-2019
,,AFC Ajax,Real Madrid,1.0,2.0,,,,,,,,,,2018-2019
,,Real Madrid,AFC Ajax,1.0,4.0,,,,,,,,,,2018-2019
,,Paris Saint-Germain,Real Madrid,3.0,0.0,,,,,,,,,,2019-2020
,,Real Madrid,Club Brugge KV,2.0,2.0,,,,,,,,,,2019-2020
,,Galatasaray,Real Madrid,0.0,1.0,,,,,,,,,,2019-2020
,,Real Madrid,Galatasaray,6.0,0.0,,,,,,,,,,2019-2020
,,Real Madrid,Paris Saint-Germain,2.0,2.0,,,,,,,,,,2019-2020
,,Club Brugge KV,Real Madrid,1.0,3.0,,,,,,,,,,2019-2020
,,Real Madrid,Manchester City,1.0,2.0,,,,,,,,,,2019-2020
,,Manchester City,Real Madrid,2.0,1.0,,,,,,,,,,2019-2020
,,Real Madrid,Shakhtar Donetsk,2.0,3.0,,,,,,,,,,2020-2021
,,Bor. Mönchengladbach,Real Madrid,2.0,2.0,,,,,,,,,,2020-2021
,,Real Madrid,Inter,3.0,2.0,,,,,,,,,,2020-2021
,,Inter,Real Madrid,0.0,2.0,,,,,,,,,,2020-2021
,,Shakhtar Donetsk,Real Madrid,2.0,0.0,,,,,,,,,,2020-2021
,,Real Madrid,Bor. Mönchengladbach,2.0,0.0,,,,,,,,,,2020-2021
,,Atalanta,Real Madrid,0.0,1.0,,,,,,,,,,2020-2021
,,Real Madrid,Atalanta,3.0,1.0,,,,,,,,,,2020-2021
,,Real Madrid,Liverpool FC,3.0,1.0,,,,,,,,,,2020-2021
,,Liverpool FC,Real Madrid,0.0,0.0,,,,,,,,,,2020-2021
,,Real Madrid,Chelsea FC,1.0,1.0,,,,,,,,,,2020-2021
,,Chelsea FC,Real Madrid,2.0,0.0,,,,,,,,,,2020-2021
,,Inter,Real Madrid,0.0,1.0,,,,,,,,,,2021-2022
,,Real Madrid,FC Sheriff,1.0,2.0,,,,,,,,,,2021-2022
,,Shakhtar Donetsk,Real Madrid,0.0,5.0,,,,,,,,,,2021-2022
,,Real Madrid,Shakhtar Donetsk,2.0,1.0,,,,,,,,,,2021-2022
,,FC Sheriff,Real Madrid,0.0,3.0,,,,,,,,,,2021-2022
,,Real Madrid,Inter,2.0,0.0,,,,,,,,,,2021-2022
,,Paris Saint-Germain,Real Madrid,1.0,0.0,,,,,,,,,,2021-2022
,,Real Madrid,Paris Saint-Germain,3.0,1.0,,,,,,,,,,2021-2022
,,Chelsea FC,Real Madrid,1.0,3.0,,,,,,,,,,2021-2022
,,Real Madrid,Chelsea FC,2.0,3.0,,,,,,,,,,2021-2022
,,Manchester City,Real Madrid,4.0,3.0,,,,,,,,,,2021-2022
,,Real Madrid,Manchester City,3.0,1.0,,,,,,,,,,2021-2022
,,Liverpool FC,Real Madrid,0.0,1.0,,,,,,,,,,2021-2022
,,Manchester City,Real Madrid,4.0,0.0,,,,,,,,,,2022-2023
,,Real Madrid,Manchester City,1.0,1.0,,,,,,,,,,2022-2023
,,Chelsea FC,Real Madrid,0.0,2.0,,,,,,,,,,2022-2023
,,Real Madrid,Chelsea FC,2.0,0.0,,,,,,,,,,2022-2023
,,Real Madrid,Liverpool FC,1.0,0.0,,,,,,,,,,2022-2023
,,Liverpool FC,Real Madrid,2.0,5.0,,,,,,,,,,2022-2023
,,Real Madrid,Celtic FC,5.0,1.0,,,,,,,,,,2022-2023
,,RB Leipzig,Real Madrid,3.0,2.0,,,,,,,,,,2022-2023
,,Shakhtar Donetsk,Real Madrid,1.0,1.0,,,,,,,,,,2022-2023
,,Real Madrid,Shakhtar Donetsk,2.0,1.0,,,,,,,,,,2022-2023
,,Real Madrid,RB Leipzig,2.0,0.0,,,,,,,,,,2022-2023
,,Celtic FC,Real Madrid,0.0,3.0,,,,,,,,,,2022-2023
,,,,,,Real Madrid,7.0,7.0,0.0,0.0,17.0,7.0,10.0,21.0,
