SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra
2016-2017,FC Basel,6,0,2,4,3,12
2016-2017,PFC Ludogorets Razgrad,6,0,3,3,6,15
2016-2017,Paris Saint-Germain,8,4,3,1,18,13
2016-2017,Arsenal FC,8,4,2,2,20,16
2016-2017,Dinamo Kiev,6,1,2,3,8,6
2016-2017,SSC Napoli,8,3,2,3,13,14
2016-2017,SL Benfica,8,3,2,3,11,14
2016-2017,Beşiktaş,6,1,4,1,9,14
2016-2017,FC Barcelona,10,6,1,3,26,12
2016-2017,Celtic FC,6,0,3,3,5,16
2016-2017,Manchester City,8,3,3,2,18,16
2016-2017,Bor. Mönchengladbach,6,1,2,3,5,12
2016-2017,Bayern München,10,6,0,4,27,14
2016-2017,FK Rostov,6,1,2,3,6,12
2016-2017,PSV Eindhoven,6,0,2,4,4,11
2016-2017,Atlético Madrid,12,8,2,2,15,9
2016-2017,Bayer Leverkusen,8,2,5,1,10,8
2016-2017,CSKA Moskva,6,0,3,3,5,11
2016-2017,Tottenham Hotspur,6,2,1,3,6,6
2016-2017,AS Monaco,12,6,2,4,22,20
2016-2017,Legia Warszawa,6,1,1,4,9,24
2016-2017,Borussia Dortmund,10,5,2,3,28,16
2016-2017,Real Madrid,13,9,3,1,36,18
2016-2017,Sporting CP,6,1,0,5,5,8
2016-2017,Club Brugge KV,6,0,0,6,2,14
2016-2017,Leicester City,10,5,2,3,11,10
2016-2017,FC Porto,8,3,2,3,9,6
2016-2017,FC København,6,2,3,1,7,2
2016-2017,Juventus,13,9,3,1,22,7
2016-2017,Sevilla FC,8,4,2,2,9,6
2016-2017,Olympique Lyon,6,2,2,2,5,3
2016-2017,Dinamo Zagreb,6,0,0,6,0,15
2017-2018,Manchester United,8,5,1,2,13,5
2017-2018,FC Basel,8,5,0,3,13,10
2017-2018,SL Benfica,6,0,0,6,1,14
2017-2018,CSKA Moskva,6,3,0,3,8,10
2017-2018,Bayern München,12,8,2,2,26,12
2017-2018,RSC Anderlecht,6,1,0,5,2,17
2017-2018,Celtic FC,6,1,0,5,5,18
2017-2018,Paris Saint-Germain,8,5,0,3,27,9
2017-2018,AS Roma,12,6,2,4,21,19
2017-2018,Atlético Madrid,6,1,4,1,5,4
2017-2018,Chelsea FC,8,3,3,2,17,12
2017-2018,Qarabağ FK,6,0,2,4,2,14
2017-2018,FC Barcelona,10,6,3,1,17,6
2017-2018,Juventus,10,5,3,2,14,12
2017-2018,Olympiakos Piraeus,6,0,1,5,4,13
2017-2018,Sporting CP,6,2,1,3,8,9
2017-2018,Liverpool FC,13,7,4,2,41,16
2017-2018,Sevilla FC,10,3,5,2,15,15
2017-2018,NK Maribor,6,0,3,3,3,16
2017-2018,Spartak Moskva,6,1,3,2,9,13
2017-2018,Shakhtar Donetsk,8,5,0,3,11,11
2017-2018,SSC Napoli,6,2,0,4,11,11
2017-2018,Feyenoord,6,1,0,5,5,14
2017-2018,Manchester City,10,6,0,4,20,12
2017-2018,FC Porto,8,3,2,3,15,15
2017-2018,Beşiktaş,8,4,2,2,12,13
2017-2018,RB Leipzig,6,2,1,3,10,11
2017-2018,AS Monaco,6,0,2,4,6,16
2017-2018,Tottenham Hotspur,8,5,2,1,18,8
2017-2018,Borussia Dortmund,6,0,2,4,7,13
2017-2018,Real Madrid,13,9,2,2,33,16
2017-2018,APOEL Nikosia,6,0,2,4,2,17
2018-2019,AS Monaco,6,0,1,5,2,14
2018-2019,Atlético Madrid,8,5,1,2,11,9
2018-2019,Club Brugge KV,6,1,3,2,6,5
2018-2019,Borussia Dortmund,8,4,1,3,10,6
2018-2019,FC Barcelona,12,8,3,1,26,10
2018-2019,PSV Eindhoven,6,0,2,4,6,13
2018-2019,Inter,6,2,2,2,6,7
2018-2019,Tottenham Hotspur,13,6,2,5,20,19
2018-2019,Liverpool FC,13,8,1,4,24,12
2018-2019,Paris Saint-Germain,8,4,2,2,20,12
2018-2019,Crvena Zvezda,6,1,1,4,5,17
2018-2019,SSC Napoli,6,2,3,1,7,5
2018-2019,FC Schalke 04,8,3,2,3,8,14
2018-2019,FC Porto,10,6,1,3,20,15
2018-2019,Galatasaray,6,1,1,4,5,8
2018-2019,Lokomotiv Moskva,6,1,0,5,4,12
2018-2019,AFC Ajax,12,6,4,2,22,13
2018-2019,AEK Athen,6,0,0,6,2,13
2018-2019,SL Benfica,6,2,1,3,6,11
2018-2019,Bayern München,8,4,3,1,16,8
2018-2019,Shakhtar Donetsk,6,1,3,2,8,16
2018-2019,1899 Hoffenheim,6,0,3,3,11,14
2018-2019,Manchester City,10,7,1,2,30,12
2018-2019,Olympique Lyon,8,1,6,1,13,16
2018-2019,Real Madrid,8,5,0,3,15,10
2018-2019,AS Roma,8,4,0,4,14,12
2018-2019,Viktoria Plzeň,6,2,1,3,7,16
2018-2019,CSKA Moskva,6,2,1,3,8,9
2018-2019,Valencia CF,6,2,2,2,6,6
2018-2019,Juventus,10,5,1,4,14,9
2018-2019,BSC Young Boys,6,1,1,4,4,12
2018-2019,Manchester United,10,4,1,5,10,11
2019-2020,Club Brugge KV,6,0,3,3,4,12
2019-2020,Galatasaray,6,0,2,4,1,14
2019-2020,Paris Saint-Germain,11,8,1,2,25,6
2019-2020,Real Madrid,8,3,2,3,16,12
2019-2020,Olympiakos Piraeus,6,1,1,4,8,14
2019-2020,Tottenham Hotspur,8,3,1,4,18,18
2019-2020,Bayern München,11,11,0,0,43,8
2019-2020,Crvena Zvezda,6,1,0,5,3,20
2019-2020,Shakhtar Donetsk,6,1,3,2,8,13
2019-2020,Manchester City,9,6,2,1,21,9
2019-2020,Dinamo Zagreb,6,1,2,3,10,13
2019-2020,Atalanta,9,4,1,4,17,18
2019-2020,Atlético Madrid,9,5,1,3,13,9
2019-2020,Juventus,8,6,1,1,14,6
2019-2020,Bayer Leverkusen,6,2,0,4,5,9
2019-2020,Lokomotiv Moskva,6,1,0,5,4,11
2019-2020,SSC Napoli,8,3,4,1,13,8
2019-2020,Liverpool FC,8,4,1,3,15,12
2019-2020,RB Salzburg,6,2,1,3,16,13
2019-2020,KRC Genk,6,0,1,5,5,20
2019-2020,Inter,6,2,1,3,10,9
2019-2020,Slavia Praha,6,0,2,4,4,10
2019-2020,Borussia Dortmund,8,4,1,3,10,11
2019-2020,FC Barcelona,9,5,3,1,15,14
2019-2020,Olympique Lyon,10,4,2,4,14,14
2019-2020,Zenit St. Petersburg,6,2,1,3,7,9
2019-2020,SL Benfica,6,2,1,3,10,11
2019-2020,RB Leipzig,10,6,2,2,16,12
2019-2020,Chelsea FC,8,3,2,3,12,16
2019-2020,Valencia CF,8,3,2,3,13,15
2019-2020,AFC Ajax,6,3,1,2,12,6
2019-2020,Lille OSC,6,0,1,5,4,14
2020-2021,RB Salzburg,6,1,1,4,10,17
2020-2021,Lokomotiv Moskva,6,0,3,3,5,10
2020-2021,Bayern München,10,8,1,1,27,10
2020-2021,Atlético Madrid,8,2,3,3,7,11
2020-2021,Real Madrid,12,6,3,3,19,14
2020-2021,Shakhtar Donetsk,6,2,2,2,5,12
2020-2021,Inter,6,1,3,2,7,9
2020-2021,Bor. Mönchengladbach,8,2,2,4,16,13
2020-2021,Manchester City,13,11,1,1,25,5
2020-2021,FC Porto,10,6,1,3,15,9
2020-2021,Olympiakos Piraeus,6,1,0,5,2,10
2020-2021,Olympique Marseille,6,1,0,5,2,13
2020-2021,AFC Ajax,6,2,1,3,7,7
2020-2021,Liverpool FC,10,6,2,2,15,6
2020-2021,FC Midtjylland,6,0,2,4,4,13
2020-2021,Atalanta,8,3,2,3,11,12
2020-2021,Chelsea FC,13,9,3,1,23,4
2020-2021,Sevilla FC,8,4,2,2,13,13
2020-2021,Stade Rennes,6,0,1,5,3,11
2020-2021,FK Krasnodar,6,1,2,3,6,11
2020-2021,Zenit St. Petersburg,6,0,1,5,4,13
2020-2021,Club Brugge KV,6,2,2,2,8,10
2020-2021,Lazio Roma,8,2,4,2,13,13
2020-2021,Borussia Dortmund,10,5,2,3,19,13
2020-2021,Dinamo Kiev,6,1,1,4,4,13
2020-2021,Juventus,8,6,0,2,18,8
2020-2021,FC Barcelona,8,5,1,2,18,10
2020-2021,Ferencvárosi TC,6,0,1,5,5,17
2020-2021,RB Leipzig,8,4,0,4,11,16
2020-2021,İstanbul Başakşehir,6,1,0,5,7,18
2020-2021,Paris Saint-Germain,12,6,1,5,22,15
2020-2021,Manchester United,6,3,0,3,15,10
2021-2022,Manchester City,12,7,2,3,29,16
2021-2022,RB Leipzig,6,2,1,3,15,14
2021-2022,Club Brugge KV,6,1,1,4,6,20
2021-2022,Paris Saint-Germain,8,4,2,2,15,11
2021-2022,Atlético Madrid,10,3,3,4,9,10
2021-2022,FC Porto,6,1,2,3,4,11
2021-2022,Liverpool FC,13,10,1,2,30,14
2021-2022,AC Milan,6,1,1,4,6,9
2021-2022,Beşiktaş,6,0,0,6,3,19
2021-2022,Borussia Dortmund,6,3,0,3,10,11
2021-2022,Sporting CP,8,3,1,4,14,17
2021-2022,AFC Ajax,8,6,1,1,22,8
2021-2022,FC Sheriff,6,2,1,3,7,11
2021-2022,Shakhtar Donetsk,6,0,2,4,2,12
2021-2022,Inter,8,4,1,3,9,7
2021-2022,Real Madrid,13,9,0,4,29,14
2021-2022,FC Barcelona,6,2,1,3,2,9
2021-2022,Bayern München,10,7,2,1,31,7
2021-2022,Dinamo Kiev,6,0,1,5,1,11
2021-2022,SL Benfica,10,3,4,3,14,17
2021-2022,BSC Young Boys,6,1,2,3,7,12
2021-2022,Manchester United,8,3,3,2,12,10
2021-2022,Villarreal CF,12,5,3,4,20,16
2021-2022,Atalanta,6,1,3,2,12,13
2021-2022,Sevilla FC,6,1,3,2,5,5
2021-2022,RB Salzburg,8,3,2,3,10,14
2021-2022,Lille OSC,8,3,2,3,8,8
2021-2022,VfL Wolfsburg,6,1,2,3,5,10
2021-2022,Chelsea FC,10,7,1,2,21,10
2021-2022,Zenit St. Petersburg,6,1,2,3,10,10
2021-2022,Malmö FF,6,0,1,5,1,14
2021-2022,Juventus,8,5,1,2,11,10
2022-2023,Manchester City,13,8,5,0,32,5
2022-2023,Inter,13,7,3,3,19,11
2022-2023,Real Madrid,12,8,2,2,26,13
2022-2023,AC Milan,12,5,3,4,15,11
2022-2023,SL Benfica,10,6,3,1,26,13
2022-2023,Bayern München,10,8,1,1,22,6
2022-2023,SSC Napoli,10,7,1,2,26,8
2022-2023,Chelsea FC,10,5,1,4,12,9
2022-2023,Liverpool FC,8,5,0,3,19,12
2022-2023,Eintracht Frankfurt,8,3,1,4,7,13
2022-2023,RB Leipzig,8,4,1,3,14,17
2022-2023,FC Porto,8,4,1,3,12,8
2022-2023,Tottenham Hotspur,8,3,3,2,8,7
2022-2023,Paris Saint-Germain,8,4,2,2,16,10
2022-2023,Borussia Dortmund,8,3,3,2,11,7
2022-2023,Club Brugge KV,8,3,2,3,8,11
2022-2023,RB Salzburg,6,1,3,2,5,9
2022-2023,Sevilla FC,6,1,2,3,6,12
2022-2023,Maccabi Haifa,6,1,0,5,7,21
2022-2023,Juventus,6,1,0,5,9,13
2022-2023,FC Copenhagen,6,0,3,3,1,12
2022-2023,Dinamo Zagreb,6,1,1,4,4,11
2022-2023,Celtic FC,6,0,2,4,4,15
2022-2023,Shakhtar Donetsk,6,1,3,2,8,10
2022-2023,Viktoria PlzeÅˆ,6,0,0,6,5,24
2022-2023,FC Barcelona,6,2,1,3,12,12
2022-2023,Sporting CP,6,2,1,3,8,9
2022-2023,Rangers,6,0,0,6,2,22
2022-2023,AFC Ajax,6,2,0,4,11,16
2022-2023,Olympique Marseille,6,2,0,4,8,8
2022-2023,AtlÃ©tico de Madrid,6,1,2,3,5,9
2022-2023,Bayer Leverkusen,6,1,2,3,4,8
